english,chinese,definition
artificial intelligence,人工智能,計算機系統模擬人類智能的能力
machine learning,機器學習,通過數據和經驗自動改進系統性能的計算機科學分支
deep learning,深度學習,基於人工神經網絡的機器學習分支
neural network,神經網絡,受人腦結構啟發的計算系統
generative AI,生成式人工智能,能夠創建新內容的AI系統
large language model,大型語言模型,基於大量文本數據訓練的神經網絡模型
transformer,變換器模型,用於處理序列數據的神經網絡架構
natural language processing,自然語言處理,使計算機能理解和生成人類語言的技術
computer vision,計算機視覺,使計算機能解釋和理解視覺信息的領域
reinforcement learning,強化學習,通過與環境互動學習最優策略的機器學習類型
supervised learning,監督學習,使用標記數據進行訓練的機器學習方法
unsupervised learning,無監督學習,使用未標記數據發現模式的機器學習方法
semi-supervised learning,半監督學習,結合標記和未標記數據的學習方法
transfer learning,遷移學習,將一個任務學到的知識應用到另一個相關任務的方法
fine-tuning,微調,對預訓練模型進行針對性調整以適應特定任務
few-shot learning,少樣本學習,使用極少量示例進行學習的能力
zero-shot learning,零樣本學習,在沒有看過特定類別示例的情況下識別該類別的能力
prompt engineering,提示工程,設計和優化輸入提示以獲得更好AI輸出的技術
retrieval-augmented generation,檢索增強生成,通過檢索外部知識增強生成內容的技術
vector database,向量數據庫,存儲和檢索向量嵌入的專用數據庫
embedding,嵌入,將複雜對象（如單詞或圖像）轉換為數值向量的技術
attention mechanism,注意力機制,使神經網絡關注輸入的特定部分的機制
self-attention,自注意力,計算序列內元素之間關係的注意力機制
multi-head attention,多頭注意力,並行計算多個不同注意力的機制
encoder-decoder architecture,編碼器-解碼器架構,用於序列到序列轉換的神經網絡架構
tokenization,標記化,將文本分割為基本單元（標記）的過程
language model,語言模型,預測文本序列概率分布的統計模型
autoregressive model,自迴歸模型,基於先前輸出預測下一個輸出的模型
masked language model,遮蔽語言模型,預測被遮蔽單詞的語言模型
multimodal learning,多模態學習,結合不同類型數據（如文本和圖像）的學習方法
semantic search,語義搜索,基於內容含義而非關鍵詞匹配的搜索技術
knowledge distillation,知識蒸餾,將大型模型的知識轉移到小型模型的技術
model compression,模型壓縮,減小神經網絡大小和計算需求的技術
quantization,量化,降低模型參數精度以減小模型大小的技術
pruning,剪枝,移除神經網絡中不重要連接的技術
batch normalization,批量正規化,穩定和加速神經網絡訓練的技術
layer normalization,層正規化,針對單個樣本標準化層輸出的技術
dropout,隨機失活,訓練期間隨機禁用神經元以防止過擬合的技術
backpropagation,反向傳播,計算神經網絡梯度的算法
gradient descent,梯度下降,最小化損失函數的優化算法
stochastic gradient descent,隨機梯度下降,使用隨機子集數據的梯度下降變體
learning rate,學習率,梯度下降中的步長參數
optimizer,優化器,調整神經網絡權重以最小化損失的算法
Adam optimizer,Adam優化器,結合動量和自適應學習率的優化算法
cross-entropy loss,交叉熵損失,測量預測概率分布與真實分布差異的損失函數
mean squared error,均方誤差,測量預測值與真實值差異平方的損失函數
overfitting,過擬合,模型過度適應訓練數據而無法很好泛化的現象
underfitting,欠擬合,模型無法充分學習訓練數據模式的現象
regularization,正則化,防止過擬合的技術
L1 regularization,L1正則化,使用絕對值懲罰的正則化方法
L2 regularization,L2正則化,使用平方懲罰的正則化方法
early stopping,提前停止,在驗證錯誤開始增加時停止訓練的技術
data augmentation,數據增強,通過變換現有數據創建新訓練示例的技術
bias,偏差,模型系統性錯誤的傾向
variance,方差,模型對訓練數據小變化的敏感度
bias-variance tradeoff,偏差-方差權衡,在機器學習中平衡偏差和方差的問題
feature engineering,特徵工程,創建有助於機器學習性能的輸入特徵的過程
dimensionality reduction,降維,減少數據集特徵數量的技術
principal component analysis,主成分分析,通過找到最大方差方向降維的技術
t-SNE,t-SNE,用於高維數據可視化的降維技術
accuracy,準確率,正確預測的比例
precision,精確率,正預測中真正例的比例
recall,召回率,真正例中被正確預測的比例
F1 score,F1分數,精確率和召回率的調和平均
ROC curve,ROC曲線,不同閾值下真陽性率與假陽性率的圖
AUC,曲線下面積,ROC曲線下的面積，用於評估分類器性能
confusion matrix,混淆矩陣,顯示實際類別與預測類別關係的表格
hyperparameter,超參數,在訓練前設置的模型參數
grid search,網格搜索,系統性嘗試超參數組合的方法
random search,隨機搜索,隨機選擇超參數組合的方法
Bayesian optimization,貝葉斯優化,使用概率模型指導超參數搜索的方法
cross-validation,交叉驗證,通過使用不同數據子集訓練和評估模型的驗證技術
k-fold cross-validation,k折交叉驗證,將數據分成k部分進行交叉驗證的方法
train-validation-test split,訓練-驗證-測試分割,將數據分為三部分的常見做法
batch size,批次大小,每次網絡權重更新處理的樣本數
epoch,迭代周期,處理整個訓練數據集一次的過程
iteration,迭代,一次模型權重更新的過程
inference,推理,使用訓練好的模型進行預測的過程
deployment,部署,將機器學習模型整合到生產環境的過程
model serving,模型服務,為用戶請求提供模型推理結果的系統
online learning,在線學習,從連續數據流中逐步學習的方法
offline learning,離線學習,使用靜態數據集一次性學習的方法
label,標籤,數據樣本的真實輸出或類別
feature,特徵,用於預測的輸入變量
instance,實例,單個數據樣本
dataset,數據集,訓練和評估模型的數據集合
training set,訓練集,用於訓練模型的數據子集
validation set,驗證集,用於調優超參數的數據子集
test set,測試集,用於評估最終模型性能的數據子集
